,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
78,1624444593937,131.58405159310325,35.508213,0.5790127,3.0,5.262
79,1624444598940,131.64403356465897,38.853058,0.8425323,3.0,5.708
80,1624444603961,131.55031233137805,40.44989,0.7987242,3.0,6.041
81,1624444609819,131.60723166314963,38.12321,0.2599238,3.0,6.343
82,1624444614959,131.6397145575985,30.815899,0.1227868,3.0,6.799
83,1624444620965,131.74495255338266,35.07519,0.524515,3.0,7.385
84,1624444626268,131.74189849531945,39.133785,0.6881887,3.0,7.397
85,1624444631330,131.75799131694382,39.79891,0.85980886,3.0,6.247
86,1624444636639,131.77689979887953,39.561325,0.61904496,3.0,6.999
87,1624444641988,131.8223238331107,34.42924,0.7555355,3.0,5.814
88,1624444647272,131.75987037638717,38.773155,0.91921693,3.0,6.426
89,1624444652772,132.19666235588886,35.480015,0.867265,3.0,5.087
90,1624444657795,132.22388963937323,34.38699,0.80314,3.0,5.155
91,1624444662971,132.55887874446432,36.50742,0.87394035,3.0,5.556
92,1624444668437,132.5941185350667,39.348248,0.8857145,3.0,5.762
93,1624444673684,132.8082369454199,39.65461,0.8612477,3.0,4.976
94,1624444679271,132.74861973632272,37.454144,0.68568593,3.0,5.291
95,1624444684535,133.12451837491068,1.4066561,0.19787173,3.0,5.062
96,1624444689549,133.15324422962854,90.00145,0.00018022646,3.0,4.877
97,1624444694959,132.77933847593636,306.01172,1.2287546,3.0,5.41
98,1624444700442,132.75135193461458,39.988106,0.8043609,3.0,6.558
99,1624444705549,132.81363928413404,57.482147,0.72853047,3.0,5.31
100,1624444710959,132.79711706291133,28.234571,0.44667262,3.0,6.304
101,1624444715978,132.98069802903814,36.82359,0.767338,3.0,6.162
102,1624444721675,132.95194181064997,38.998714,0.92202044,3.0,5.916
103,1624444726994,133.29605942093784,6.9859157,0.8216306,3.0,4.953
104,1624444732820,133.33660191379596,1.3147801,0.5078935,3.0,5.83
105,1624444737989,133.27226615449493,19.32709,0.473002,3.0,5.812
106,1624444743687,133.59183513832068,44.798782,0.7305148,3.0,6.223
107,1624444748722,133.54528370366015,72.891846,0.6587097,3.0,5.83
108,1624444753956,133.56980443961615,75.601006,0.833867,3.0,6.823
109,1624444758993,133.5444195441673,45.395256,0.77248245,3.0,5.941
110,1624444764780,133.50970496333784,38.529934,0.29568368,3.0,5.996
111,1624444769970,133.64478590934917,30.913204,0.52777636,3.0,5.49
112,1624444775400,133.93696950141555,32.643528,0.5459013,3.0,6.721
113,1624444780781,133.87303618670327,34.7677,0.6653809,3.0,7.195
114,1624444785957,133.76403276836584,41.000225,0.85976565,3.0,9.01
115,1624444790953,134.0257316554211,40.454914,0.82282245,3.0,5.616
116,1624444796655,134.26062268009636,42.80065,0.9334549,3.0,5.868
117,1624444801948,134.32794308006484,40.74346,0.94391435,3.0,5.688
118,1624444807768,134.6759469490105,38.411514,0.94709975,3.0,5.008
119,1624444812942,134.62127605471733,41.63254,0.88659406,3.0,5.765
120,1624444818608,135.26670398101626,39.543495,1.0819331,3.0,7.62
121,1624444823971,135.36197418129183,38.776714,0.87790585,3.0,8.147
122,1624444829580,135.5802409729906,18.01085,0.68066627,3.0,6.814
123,1624444834948,135.6709581854834,359.98737,0.42131308,3.0,5.202
124,1624444840185,135.7659160736798,57.596836,0.18818519,3.0,5.536
125,1624444845454,135.81512785248285,35.16402,0.4924039,3.0,5.587
126,1624444850898,135.9148876945272,55.00375,0.97683984,3.0,5.779
127,1624444856268,135.80150437391003,37.514214,0.71620506,3.0,5.687
128,1624444861993,136.38377059937628,21.083437,0.27679655,3.0,4.527
129,1624444867571,136.4086859451592,34.34973,0.5778948,3.0,3.946
130,1624444872914,136.6701362244159,38.085037,0.78580976,3.0,3.878
131,1624444878399,136.6649422982903,32.19498,0.6918983,3.0,3.383
132,1624444883701,136.96379472339606,40.389248,0.7231348,3.0,3.836
133,1624444888914,137.05183636098155,41.307877,0.7348943,3.0,5.667
134,1624444893941,137.22988407712006,42.462116,0.7647669,3.0,7.259
135,1624444898988,137.20200530140824,38.968266,0.7318549,3.0,7.798
136,1624444904756,137.3775693676807,42.3272,1.2927067,3.0,7.5
137,1624444909820,137.52234836516087,50.865135,1.1074762,3.0,7.475
138,1624444914960,137.43540727449206,45.523777,0.8364952,3.0,7.948
139,1624444920984,137.38711848412382,42.072765,0.95204675,3.0,8.674
140,1624444926526,137.5821976006031,45.24374,1.0813566,3.0,7.324
141,1624444931551,137.5779136567453,43.743984,0.92077386,3.0,7.572
142,1624444936715,137.6925762861572,44.54121,0.9355901,3.0,7.756
143,1624444941816,137.65589833351015,39.976925,1.1108699,3.0,8.006
144,1624444947292,137.93483883297552,29.931938,0.45092678,3.0,7.201
145,1624444952600,137.96633616118373,35.99079,0.4921778,3.0,7.071
146,1624444957959,137.98498288650583,38.61507,0.92736834,3.0,7.251
147,1624444963115,138.04250882986838,46.30428,1.0719508,3.0,8.242
148,1624444968350,138.00389195038431,41.241905,1.0346949,3.0,7.801
149,1624444973385,138.0589362744344,39.77871,0.97144437,3.0,8.002
150,1624444978450,138.19868050422627,40.622692,0.6986847,3.0,7.78
151,1624444983558,138.1769484128106,43.597645,0.8309893,3.0,6.962
152,1624444988905,138.17961624099573,38.342888,0.73502165,3.0,8.14
153,1624444993921,138.15496584703516,41.93924,0.7877588,3.0,6.811
154,1624444998944,138.3102316657962,35.209038,0.7711191,3.0,7.527
155,1624445004505,138.29114323322918,43.5334,1.0461785,3.0,8.025
156,1624445009595,138.28123236559006,41.495537,1.0897386,3.0,9.088
157,1624445014969,138.50042564066806,38.4571,0.7697558,3.0,7.6
158,1624445020310,138.51813297963506,38.03051,0.37216803,3.0,7.158
159,1624445025567,138.50603377683927,43.78463,0.3953906,3.0,6.11
160,1624445030964,138.55143358593944,46.326855,0.7241295,3.0,7.257
161,1624445036333,138.65107364713418,40.42651,0.50779504,3.0,6.245
162,1624445041632,138.5205084662046,43.154373,0.66241443,3.0,7.506
163,1624445046966,138.44753853608887,37.580666,0.5198985,3.0,7.855
164,1624445051980,138.50093021158875,38.1728,0.7785668,3.0,8.657
165,1624445056971,138.71977581868717,33.083332,0.43272334,3.0,6.768
166,1624445062401,138.73935261294122,33.779488,0.25660855,3.0,7.754
167,1624445067638,138.72395906096398,3.29228,0.34715995,3.0,7.16
168,1624445072978,138.69705866400207,21.795383,0.6821842,3.0,6.966
169,1624445078476,138.7272931713397,36.074894,0.84963906,3.0,7.466
170,1624445083591,138.73717613889286,40.16441,0.8362139,3.0,8.46
171,1624445088735,138.9305996584189,49.47477,0.7549102,3.0,7.331
172,1624445093983,138.8573858113896,45.358295,0.82069844,3.0,7.154
173,1624445098973,138.88887679391007,20.605577,0.32522827,3.0,7.028
174,1624445104495,138.854427214773,46.949024,0.4667729,3.0,7.486
175,1624445109981,139.12592184455352,45.932632,0.82915336,3.0,7.027
176,1624445115483,139.08016250119303,43.276676,0.9377357,3.0,8.552
177,1624445120984,139.25264885256647,37.117,1.0611056,3.0,5.695
178,1624445126415,139.53518190757563,35.771885,1.0131713,3.0,6.988
179,1624445131497,139.4773373806122,36.247227,0.9011724,3.0,7.467
