,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
1462,1624445048713,-89,1,0,0, null, {},-2147483648,26,17079507b338d08a7568e4a9e865a2d5d7c385d3c613edc99d2276f7
1463,1624445048716,-94,1,0,0, null, {76=[B@1a2f574},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1464,1624445048722,-88,1,0,0, null, {76=[B@520e2e3},12,26,c5994a2706771a3cc66e9b247dc51dc2a975f5b04e28f003c7bc7420
1465,1624445048736,-85,1,0,0, null, {},-2147483648,26,a63ccf741a1b4e80ed6a7dd30931ff90fd7a4ac07179aadc09bdb36d
1466,1624445048774,-71,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1467,1624445048784,-90,1,0,0, null, {76=[B@be06a6a},-2147483648,26,073e510a043fdd8c2ca738e56e62a1c8824536673f95c7b032f427ff
1468,1624445048816,-87,1,0,0, null, {76=[B@973cd1},6,26,21bf6ba28daf86d8677abf8e1b6e2498d02007b126a71c08ccf2248f
1469,1624445048860,-92,1,0,0, s-wNOR7UpP, {},-2147483648,6,132dc9cfb5d3a2bf73382184f8202f3045a01491f04f791854c483b5
1470,1624445048914,-84,1,0,0, null, {76=[B@53fdcc2},-2147483648,26,073e510a043fdd8c2ca738e56e62a1c8824536673f95c7b032f427ff
1471,1624445048947,-84,1,0,0, null, {76=[B@e03b509},-2147483648,26,073e510a043fdd8c2ca738e56e62a1c8824536673f95c7b032f427ff
1472,1624445052461,-92,1,0,0, null, {76=[B@d20421a},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1473,1624445052472,-86,1,0,0, null, {76=[B@60ffc41},12,26,073e510a043fdd8c2ca738e56e62a1c8824536673f95c7b032f427ff
1474,1624445052483,-84,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1475,1624445052528,-95,1,0,0, null, {76=[B@e4cfa72},26,26,bb8bf47745202cc001f9cf66e305a2e1ecb27061b59f1d1b36521745
1476,1624445052530,-90,1,0,0, null, {76=[B@506f279},12,26,9c5a33fb04da77ecdff15042e4df5b12814fc5e0f0cee16897a28e94
1477,1624445052605,-90,1,0,0, null, {76=[B@413736c},8,26,505f2b382ce330acb24d2556c628cdb631dffa87f9246ab01c22b5be
1478,1624445052635,-74,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1479,1624445052751,-81,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1480,1624445052771,-68,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1481,1624445052786,-88,1,0,0, null, {76=[B@392dded},7,26,97f019cf86b9889502a07ba3536443a92286789de28ff0f51b4fb3f6
1482,1624445052794,-96,1,0,0, null, {117=[B@58e1c70},-2147483648,-1,165ba2d46d7089566a90b3cb946b5c1caefbbd4adc1b923e2186f74d
1483,1624445052864,-92,1,0,0, null, {},-2147483648,26,a63ccf741a1b4e80ed6a7dd30931ff90fd7a4ac07179aadc09bdb36d
1484,1624445052881,-80,1,0,0, null, {76=[B@af6dda5},8,26,505f2b382ce330acb24d2556c628cdb631dffa87f9246ab01c22b5be
1485,1624445052903,-88,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1486,1624445053024,-88,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1487,1624445053059,-82,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1488,1624445053061,-90,1,0,0, null, {76=[B@30299d2},7,26,97f019cf86b9889502a07ba3536443a92286789de28ff0f51b4fb3f6
1489,1624445053076,-84,1,0,0, null, {76=[B@c5b2159},12,26,9c5a33fb04da77ecdff15042e4df5b12814fc5e0f0cee16897a28e94
1490,1624445053128,-94,1,0,0, null, {117=[B@86517cc},-2147483648,26,8f3942ae62e787ae976b46a173f146536c286dc408442a7fde078c4c
1491,1624445053140,-88,1,0,0, null, {},-2147483648,26,a63ccf741a1b4e80ed6a7dd30931ff90fd7a4ac07179aadc09bdb36d
1492,1624445053162,-88,1,0,0, null, {76=[B@7bea291},8,26,505f2b382ce330acb24d2556c628cdb631dffa87f9246ab01c22b5be
1493,1624445053176,-81,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1494,1624445057002,-91,1,0,0, null, {76=[B@72092d0},26,26,bb8bf47745202cc001f9cf66e305a2e1ecb27061b59f1d1b36521745
1495,1624445057079,-65,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1496,1624445057189,-92,1,0,0, null, {76=[B@e881285},7,26,97f019cf86b9889502a07ba3536443a92286789de28ff0f51b4fb3f6
1497,1624445057253,-74,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1498,1624445057360,-67,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1499,1624445073015,-85,1,0,0, null, {76=[B@cb2e67e},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1500,1624445073048,-71,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1501,1624445073059,-84,1,0,0, null, {},-2147483648,26,8f696b3ed24fce3c4d7eb15dd71a739595d468b2d10e903c73f7b141
1502,1624445073112,-91,1,0,0, null, {6=[B@fcbd71},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1503,1624445073139,-93,1,0,0, null, {117=[B@50214c4},-2147483648,-1,c4b556a7d446616ab28e7ac73cded60cabbb409ff2fb1c4e5baca889
1504,1624445073160,-91,1,0,0, null, {76=[B@c70c673},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1505,1624445073209,-95,1,0,0, null, {76=[B@aa3eb2e},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1506,1624445073225,-87,1,0,0, null, {76=[B@3153765},12,26,305d00a3a39b57a4d08c11405ad6145aa1e72434d2c5c04fb256e62b
1507,1624445073341,-81,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1508,1624445073344,-91,1,0,0, null, {76=[B@ed23206},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1509,1624445073462,-88,1,0,0, null, {76=[B@b4bee1d},12,26,9c5a33fb04da77ecdff15042e4df5b12814fc5e0f0cee16897a28e94
1510,1624445073472,-97,1,0,0, null, {6=[B@ab9ce60},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1511,1624445073618,-84,1,0,0, null, {},-2147483648,26,8f696b3ed24fce3c4d7eb15dd71a739595d468b2d10e903c73f7b141
1512,1624445073628,-84,1,0,0, null, {76=[B@85bc3d5},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1513,1624445073630,-74,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1514,1624445073673,-90,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1515,1624445073737,-85,1,0,0, null, {76=[B@b0f4524},12,26,9c5a33fb04da77ecdff15042e4df5b12814fc5e0f0cee16897a28e94
1516,1624445085206,-91,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1517,1624445085210,-88,1,0,0, null, {6=[B@5564c45},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1518,1624445085213,-71,1,0,0, null, {76=[B@abbc0a8},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1519,1624445085234,-73,1,0,0, null, {76=[B@146bea7},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1520,1624445085247,-92,1,0,0, null, {76=[B@99697f2},12,26,3142a6c30af48458e025bc9b03e58981a190c7700ff57fdc65c4dbc6
1521,1624445085259,-92,1,0,0, null, {6=[B@73d4df9},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1522,1624445085265,-82,1,0,0, null, {6=[B@d3424ec},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1523,1624445085308,-85,1,0,0, null, {6=[B@f3b92bb},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1524,1624445085328,-73,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1525,1624445085346,-96,1,0,0, null, {76=[B@bc2584},-2147483648,26,e3c9bb07e3a79ed6fef6be86248a5e5cb2c01391b3e18c9dab6dbdf4
1526,1624445085364,-82,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1527,1624445085369,-85,1,0,0, null, {6=[B@910a769},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1528,1624445085420,-85,1,0,0, null, {6=[B@900a11c},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1529,1624445085423,-89,1,0,0, null, {},-2147483648,26,8d397b9e0fa79de38834a442f1699c9af2e64ab12582118f2d7ed75d
1530,1624445085433,-84,1,0,0, null, {76=[B@6bcdaa1},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1531,1624445085491,-77,1,0,0, null, {76=[B@bb5f7b4},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1532,1624445085522,-90,1,0,0, null, {6=[B@3787a23},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1533,1624445085575,-90,1,0,0, null, {6=[B@7fb369e},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1534,1624445085583,-85,1,0,0, null, {6=[B@2e3cd95},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1535,1624445089318,-79,1,0,0, null, {6=[B@1797b76},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1536,1624445089321,-91,1,0,0, null, {6=[B@1311a4d},-2147483648,-1,dae7e895480c2e7dc3d7a880a06e9d91e0310f03edd75827f6834658
1537,1624445089343,-77,1,0,0, null, {76=[B@5a54c50},-2147483648,26,0cfa7d60140fec48ab120f0622a3afa5b78e141c3fa678ae291e0a4e
1538,1624445089348,-77,1,0,0, null, {76=[B@bfddc6f},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1539,1624445089351,-70,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1540,1624445089365,-88,1,0,0, null, {6=[B@5f65568},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1541,1624445089385,-91,1,0,0, null, {76=[B@8aeea67},7,26,97f019cf86b9889502a07ba3536443a92286789de28ff0f51b4fb3f6
1542,1624445089426,-78,1,0,0, null, {6=[B@31e86b2},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1543,1624445089462,-84,1,0,0, null, {},-2147483648,26,18680125e9415cff34132fa93eacfe2f9d4b783aa5c947b8d316a853
1544,1624445089470,-81,1,0,0, null, {6=[B@dc4bf5f},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1545,1624445089494,-94,1,0,0, null, {76=[B@10c3a0a},12,26,97513ce96094052d33aee7fa94adf3bba853532350499d3b4db0e233
1546,1624445089501,-92,1,0,0, null, {},-2147483648,26,8d397b9e0fa79de38834a442f1699c9af2e64ab12582118f2d7ed75d
1547,1624445089515,-89,1,0,0, null, {76=[B@c313b57},12,26,5aa847b6b63c30ff6c2dfeea409b0d8159cc15ee9193b85eb2110acb
1548,1624445089523,-82,1,0,0, null, {76=[B@6e20062},12,26,b53a47f209762fcca5e46d47bd5366925fdd3684f00f2f67b86bc23e
1549,1624445089525,-87,1,0,0, null, {6=[B@cf06529},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1550,1624445089545,-85,1,0,0, null, {76=[B@c4ac9dc},12,26,b1103ac588a08cec99d03ba7bc6592c37dc934a2a113759c684e4713
1551,1624445089558,-87,1,0,0, null, {6=[B@48e706b},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1552,1624445089572,-91,1,0,0, null, {6=[B@e873786},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1553,1624445089576,-79,1,0,0, null, {76=[B@5d2d19d},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1554,1624445089643,-62,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1555,1624445089664,-88,1,0,0, null, {6=[B@e97b15e},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1556,1624445089673,-94,1,0,0, null, {6=[B@96b9755},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1557,1624445089727,-91,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
