,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
79,1623670400654,133.41667206717898,11.580714,1.0056467,3.0,5.499
80,1623670405786,132.67461597409036,25.548788,1.1311423,3.0,5.95
81,1623670411084,132.6610738456426,37.481243,1.1800966,3.0,5.474
82,1623670416092,131.24033984512388,38.69237,1.1914457,3.0,5.633
83,1623670421093,131.16405984662458,28.980242,1.1785027,3.0,5.76
84,1623670426133,130.8944786400373,20.669092,0.92212313,3.0,5.441
85,1623670432069,130.95582533473194,27.14695,0.9454442,3.0,7.367
86,1623670437522,130.95197385791886,25.440643,0.94288707,3.0,8.797
87,1623670442961,130.9528288611789,2.3859324,1.6682365,3.0,7.152
88,1623670448615,131.13923110177484,311.60657,1.0652335,3.0,17.641
89,1623670454138,131.1810513221483,333.11758,0.68812793,3.0,5.934
90,1623670459837,130.89732875663125,346.14362,0.20121267,3.0,5.402
91,1623670465084,130.8483780090788,357.04733,0.6571852,3.0,5.308
92,1623670470144,130.94348382372323,352.20242,0.87036496,3.0,5.54
93,1623670475496,130.93274248092038,2.3324366,0.9781806,3.0,5.476
94,1623670480663,130.8338189723969,3.4901717,0.9661889,3.0,4.774
95,1623670486130,130.7819916172234,9.334476,1.1065211,3.0,5.22
96,1623670491094,130.7112370070305,8.790647,1.2273902,3.0,7.447
97,1623670496650,130.64956019201637,359.08914,1.0344007,3.0,10.44
98,1623670501836,130.75530653401734,353.6332,1.0050019,3.0,4.267
99,1623670506935,130.68210413729253,347.04907,1.0917376,3.0,4.674
100,1623670512125,130.78703075029375,345.4428,1.1814479,3.0,4.81
101,1623670517123,130.85631971187496,359.513,1.2718138,3.0,4.815
102,1623670522691,130.83198223530016,1.4024091,1.3762164,3.0,11.883
103,1623670527749,130.88144109984327,356.3351,1.3898488,3.0,4.607
104,1623670533111,130.8546847742406,359.3522,1.4354593,3.0,11.173
105,1623670538794,130.8228357467837,356.7196,1.4302033,3.0,4.456
106,1623670544105,130.75862574611173,358.16574,1.3897232,3.0,4.739
107,1623670549715,130.66964673684578,350.35352,1.3887173,3.0,12.198
108,1623670555088,130.62689370900335,347.06958,1.4840369,3.0,14.281
109,1623670560659,130.64977096218436,335.68866,1.4466417,3.0,6.75
110,1623670566094,131.19122583220357,335.9347,1.3712862,3.0,4.793
111,1623670571509,131.4151848999448,333.852,1.3813518,3.0,4.751
112,1623670576892,131.28844516462388,330.9576,1.2823471,3.0,4.668
113,1623670582130,132.5532586124806,328.12393,1.2495637,3.0,15.179
114,1623670587754,132.46051687862249,327.98764,1.2326624,3.0,4.736
115,1623670593100,132.52548387989543,325.7113,1.215213,3.0,5.176
116,1623670598593,133.21379591764537,326.52097,1.3191907,3.0,6.195
117,1623670604092,133.29735302254886,332.27902,1.3895828,3.0,16.096
118,1623670609073,133.3078560281253,337.65656,1.4423649,3.0,23.538
119,1623670614099,133.30126161122016,335.74152,1.3515512,3.0,6.651
120,1623670619691,133.68538465005852,319.19577,1.2251259,3.0,5.974
121,1623670625084,133.74741980741732,298.2637,1.0201243,3.0,8.409
122,1623670630081,133.88911753568496,301.9897,1.0787538,3.0,10.372
