,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
215,1634469805721,-56,1,0,0, , {3=[B@ccef1a0},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
216,1634469805732,-88,1,0,0, null, {19456=[B@9e67dff},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
217,1634469805797,-96,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
218,1634469805808,-57,1,0,0, , {3=[B@f6554b8},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
219,1634469805825,-64,1,0,0, null, {76=[B@1b82df7},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
220,1634469805833,-88,1,0,0, null, {19456=[B@1990b82},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
221,1634469805856,-79,1,0,0, null, {101=[B@b26c2c9},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
222,1634469805893,-58,1,0,0, , {3=[B@c9c7bfc},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
223,1634469805898,-62,1,0,0, null, {76=[B@6c0e10b},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
224,1634469805912,-64,1,0,0, null, {76=[B@50658a6},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
225,1634469805942,-84,1,0,0, null, {19456=[B@6a8bd3d},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
226,1634469805960,-66,1,0,0, null, {76=[B@e13c000},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
227,1634469805977,-57,1,0,0, , {3=[B@bfae7df},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
228,1634469806078,-96,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
229,1634469806103,-62,1,0,0, null, {76=[B@1e98f18},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
230,1634469806144,-58,1,0,0, , {3=[B@4f3f3d7},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
231,1634469806155,-88,1,0,0, null, {19456=[B@e8c72e2},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
232,1634469806161,-93,1,0,0, null, {},-2147483648,26,8b4bae93784f1381303921b01dff9890bfe8768dc1f004a2478db3eb
233,1634469806170,-61,1,0,0, null, {76=[B@b9386cf},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
234,1634469806173,-80,1,0,0, null, {101=[B@657c3a},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
235,1634469806179,-70,1,0,0, null, {76=[B@e5194e1},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
236,1634469806224,-58,1,0,0, , {3=[B@1e4a6f4},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
237,1634469806234,-60,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
238,1634469806258,-85,1,0,0, null, {19456=[B@b8eff19},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
239,1634469806305,-58,1,0,0, , {3=[B@5a9e08c},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
240,1634469806350,-98,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
241,1634469806364,-84,1,0,0, null, {19456=[B@a587851},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
242,1634469806435,-96,1,0,0, null, {76=[B@f79b524},8,26,88fb6bfd2b5198c4a4985dfb6d38230a88cc54a978be25835b60bb20
243,1634469806439,-62,1,0,0, null, {76=[B@babaa53},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
244,1634469806452,-64,1,0,0, null, {76=[B@2ff888e},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
245,1634469806466,-58,1,0,0, , {3=[B@b4dfc45},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
246,1634469806475,-88,1,0,0, null, {19456=[B@81b30a8},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
247,1634469806489,-79,1,0,0, null, {101=[B@c00eea7},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
248,1634469806518,-65,1,0,0, null, {76=[B@a7a87f2},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
249,1634469806520,-61,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
250,1634469806546,-62,1,0,0, , {3=[B@84b0b9f},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
251,1634469806578,-84,1,0,0, null, {19456=[B@d3f234a},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
252,1634469811535,-55,1,0,0, , {3=[B@72ccf97},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
253,1634469811562,-67,1,0,0, null, {76=[B@ee0d1a2},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
254,1634469811575,-63,1,0,0, null, {76=[B@2055769},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
255,1634469811582,-89,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
256,1634469811600,-82,1,0,0, null, {19456=[B@58ef2fa},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
257,1634469811626,-68,1,0,0, null, {76=[B@3978aa1},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
258,1634469811642,-77,1,0,0, null, {101=[B@b9467b4},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
259,1634469811665,-96,1,0,0, null, {},-2147483648,26,8b4bae93784f1381303921b01dff9890bfe8768dc1f004a2478db3eb
260,1634469811697,-60,1,0,0, , {3=[B@165ecd9},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
261,1634469811708,-82,1,0,0, null, {19456=[B@3f8f94c},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
262,1634469811729,-58,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
263,1634469811745,-77,1,0,0, null, {101=[B@2e75e11},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
264,1634469811786,-57,1,0,0, , {3=[B@bfb25e4},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
265,1634469811811,-82,1,0,0, null, {19456=[B@fbd6213},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
266,1634469811836,-67,1,0,0, null, {76=[B@f37734e},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
267,1634469811848,-77,1,0,0, null, {101=[B@efbf605},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
