,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
78,1619174088716,138.1839552581176,180.0,0.000102623715,3.0,5.0
79,1619174094703,138.10783568386103,0.0,7.1947075e-06,3.0,5.071
80,1619174099699,138.1245355170459,180.0,9.489496e-08,3.0,5.0
81,1619174105678,138.16298173929837,0.0,8.6636226e-10,3.0,5.214
82,1619174110711,138.17775120528702,180.0,1.4900284e-11,3.0,5.1
83,1619174115717,138.1720924642663,6.055776e-12,1.6766762e-13,3.0,4.691
84,1619174121719,138.1791075637157,180.0,2.544791e-15,3.0,3.9
85,1619174126733,138.08608890546057,0.0,0.2844899,3.0,4.054
86,1619174132705,138.15550443195065,180.0,0.003123188,3.0,3.916
87,1619174138727,138.1056573491639,0.0,8.534652e-06,3.0,3.857
88,1619174144712,138.21584126422346,180.0,4.8313307e-08,3.0,3.7
89,1619174150736,138.19622505175278,180.0,2.622831e-10,3.0,3.8
90,1619174158428,138.23741109522834,180.0,1.3257618e-11,3.0,3.428
91,1619176104765,130.4592275648101,0.0,0.22999999,94.98399,8.5
92,1619176110653,137.76472432297936,97.58488,0.7983035,3.0,7.884
93,1619176116301,137.91806319549872,246.92067,0.43238014,3.0,11.347
94,1619176121669,137.84968728481286,176.83571,0.0019377138,3.0,5.201
95,1619176127680,137.71647188540024,179.88728,0.0006483258,3.0,3.36
96,1619176132673,137.696823315279,179.97794,0.0004047836,3.0,3.117
97,1619176137711,137.69958702550522,179.7326,0.0016786777,3.0,3.423
98,1619176142748,137.68972806468588,176.70459,0.13896602,3.0,3.593
99,1619176147750,138.01501731195685,201.70549,0.48342398,3.0,4.311
100,1619176153717,137.961625223449,199.37486,0.5897047,3.0,4.668
101,1619176158854,138.0636125740818,200.11748,0.5680454,3.0,4.457
102,1619176164206,138.1129200553258,196.459,0.6822506,3.0,4.493
103,1619176169534,138.15852188089542,197.96797,0.65716064,3.0,4.751
104,1619176174720,138.14870212333952,201.28104,0.77187335,3.0,4.871
105,1619176179728,138.1797213435135,194.77695,0.8998273,3.0,4.831
106,1619176185212,138.31728659514948,200.65143,1.1355987,3.0,4.546
107,1619176190715,138.32851741555947,187.68794,0.9935462,3.0,4.586
108,1619176196195,138.27716819490087,186.91489,1.0629843,3.0,4.828
109,1619176201555,138.34006290349592,185.63289,1.0279399,3.0,4.866
110,1619176206620,138.28649639511875,181.16895,1.0153861,3.0,4.602
111,1619176211756,138.20829071926264,190.2141,1.0732049,3.0,4.731
112,1619176217703,138.20231985309218,184.71791,1.0590105,3.0,4.863
113,1619176222719,138.19222771727487,187.8682,0.97130156,3.0,4.488
114,1619176227734,138.25477166247765,189.13785,0.8900291,3.0,4.277
115,1619176232748,117.14518417998272,189.53157,0.9174469,103.679985,4.408
116,1619176237753,115.15945945315954,185.47989,0.8597961,99.518074,4.396
117,1619176243293,120.35282948233052,189.9546,0.9670983,102.22185,4.813
118,1619176248636,125.0167412143651,185.36761,0.94404936,91.52659,4.939
119,1619176254559,148.94039228955947,178.00166,1.0484134,98.112465,5.084
120,1619176260078,121.21616885419026,179.86647,1.1487359,96.92373,5.23
121,1619176265517,117.69880493714942,179.44736,1.0400195,92.816315,4.918
122,1619176270768,120.03416780016914,181.14507,0.96488255,107.80098,4.692
123,1619176276281,119.74338634553304,184.69055,1.1102026,100.19472,4.548
